2026-06-28 18:27:47 | INFO | main.py:run_sql_step:42 | Step 'Dim Cards' completed successfully (6146 rows)
2026-06-28 18:27:47 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:27:47 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.41 seconds
2026-06-28 18:27:47 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:27:47 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Merchants
2026-06-28 18:27:47 | INFO | main.py:run_sql_step:42 | Step 'Dim Merchants' completed successfully (1106 rows)
2026-06-28 18:27:47 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:27:47 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.45 seconds
2026-06-28 18:27:47 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:27:47 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Date
2026-06-28 18:27:48 | INFO | main.py:run_sql_step:42 | Step 'Dim Date' completed successfully (6227 rows)
2026-06-28 18:27:48 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:27:48 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.48 seconds
2026-06-28 18:27:48 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:27:48 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Time
2026-06-28 18:27:48 | INFO | main.py:run_sql_step:42 | Step 'Dim Time' completed successfully (1151 rows)
2026-06-28 18:27:48 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:27:48 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.38 seconds
2026-06-28 18:27:48 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:27:48 | INFO | main.py:run_sql_step:31 | Executing SQL step: Fact Transactions
2026-06-28 18:27:49 | INFO | main.py:run_sql_step:42 | Step 'Fact Transactions' completed successfully (18316 rows)
2026-06-28 18:27:49 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:27:49 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 1.23 seconds
2026-06-28 18:27:49 | INFO | decorators.py:wrapper:19 | Finished 'main'
2026-06-28 18:27:49 | INFO | decorators.py:wrapper:30 | Execution time for main in 8.23 seconds
2026-06-28 18:34:00 | INFO | decorators.py:wrapper:12 | Started main
2026-06-28 18:34:01 | INFO | decorators.py:wrapper:12 | Started run_bronze_step
2026-06-28 18:34:01 | INFO | main.py:run_bronze_step:55 | Executing Bronze step: Bronze Users
2026-06-28 18:34:01 | INFO | main.py:run_bronze_step:66 | Step 'Bronze Users' completed successfully (2000 rows)
2026-06-28 18:34:01 | INFO | decorators.py:wrapper:19 | Finished 'run_bronze_step'
2026-06-28 18:34:01 | INFO | decorators.py:wrapper:30 | Execution time for run_bronze_step in 0.48 seconds
2026-06-28 18:34:01 | INFO | decorators.py:wrapper:12 | Started run_bronze_step
2026-06-28 18:34:01 | INFO | main.py:run_bronze_step:55 | Executing Bronze step: Bronze Cards
2026-06-28 18:34:02 | INFO | main.py:run_bronze_step:66 | Step 'Bronze Cards' completed successfully (6146 rows)
2026-06-28 18:34:02 | INFO | decorators.py:wrapper:19 | Finished 'run_bronze_step'
2026-06-28 18:34:02 | INFO | decorators.py:wrapper:30 | Execution time for run_bronze_step in 0.57 seconds
2026-06-28 18:34:02 | INFO | decorators.py:wrapper:12 | Started run_bronze_step
2026-06-28 18:34:02 | INFO | main.py:run_bronze_step:55 | Executing Bronze step: Bronze Transactions
2026-06-28 18:34:03 | INFO | main.py:run_bronze_step:66 | Step 'Bronze Transactions' completed successfully (19963 rows)
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:19 | Finished 'run_bronze_step'
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:30 | Execution time for run_bronze_step in 0.58 seconds
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:03 | INFO | main.py:run_sql_step:31 | Executing SQL step: Silver Users
2026-06-28 18:34:03 | INFO | main.py:run_sql_step:42 | Step 'Silver Users' completed successfully (2000 rows)
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.43 seconds
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:03 | INFO | main.py:run_sql_step:31 | Executing SQL step: Silver Cards
2026-06-28 18:34:03 | INFO | main.py:run_sql_step:42 | Step 'Silver Cards' completed successfully (6146 rows)
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.46 seconds
2026-06-28 18:34:03 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:03 | INFO | main.py:run_sql_step:31 | Executing SQL step: Silver Transactions
2026-06-28 18:34:04 | INFO | main.py:run_sql_step:42 | Step 'Silver Transactions' completed successfully (19963 rows)
2026-06-28 18:34:04 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:04 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.59 seconds
2026-06-28 18:34:04 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:04 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Users
2026-06-28 18:34:05 | INFO | main.py:run_sql_step:42 | Step 'Dim Users' completed successfully (2000 rows)
2026-06-28 18:34:05 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:05 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.55 seconds
2026-06-28 18:34:05 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:05 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Cards
2026-06-28 18:34:05 | INFO | main.py:run_sql_step:42 | Step 'Dim Cards' completed successfully (6146 rows)
2026-06-28 18:34:05 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:05 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.43 seconds
2026-06-28 18:34:05 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:05 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Merchants
2026-06-28 18:34:06 | INFO | main.py:run_sql_step:42 | Step 'Dim Merchants' completed successfully (1106 rows)
2026-06-28 18:34:06 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:06 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.51 seconds
2026-06-28 18:34:06 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:06 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Date
2026-06-28 18:34:06 | INFO | main.py:run_sql_step:42 | Step 'Dim Date' completed successfully (6227 rows)
2026-06-28 18:34:06 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:06 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.59 seconds
2026-06-28 18:34:06 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:06 | INFO | main.py:run_sql_step:31 | Executing SQL step: Dim Time
2026-06-28 18:34:07 | INFO | main.py:run_sql_step:42 | Step 'Dim Time' completed successfully (1151 rows)
2026-06-28 18:34:07 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:07 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 0.51 seconds
2026-06-28 18:34:07 | INFO | decorators.py:wrapper:12 | Started run_sql_step
2026-06-28 18:34:07 | INFO | main.py:run_sql_step:31 | Executing SQL step: Fact Transactions
2026-06-28 18:34:08 | INFO | main.py:run_sql_step:42 | Step 'Fact Transactions' completed successfully (18316 rows)
2026-06-28 18:34:08 | INFO | decorators.py:wrapper:19 | Finished 'run_sql_step'
2026-06-28 18:34:08 | INFO | decorators.py:wrapper:30 | Execution time for run_sql_step in 1.41 seconds
2026-06-28 18:34:08 | INFO | decorators.py:wrapper:19 | Finished 'main'
2026-06-28 18:34:08 | INFO | decorators.py:wrapper:30 | Execution time for main in 8.13 seconds
